Accident_Index,Location_Easting_OSGR,Location_Northing_OSGR,Longitude,Latitude,Police_Force,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Day_of_Week,Local_Authority_(District),1st_Road_Class,1st_Road_Number,Road_Type,Speed_limit,Junction_Detail,Junction_Control,2nd_Road_Class,2nd_Road_Number,Pedestrian_Crossing-Human_Control,Pedestrian_Crossing-Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Carriageway_Hazards,Urban_or_Rural_Area,Did_Police_Officer_Attend_Scene_of_Accident
2.02E+12,492954,180459,-0.661786,51.51542,43,1,2,1,2,477,4,3026,6,60,8,4,6,864,0,0,6,1,1,0,0,2,1
2.02E+12,497853,180615,-0.591164,51.515995,43,3,2,1,4,473,4,416,6,30,6,2,6,7302,0,0,1,1,1,0,0,1,2
2.02E+12,496381,180455,-0.612415,51.51481,43,2,2,1,4,473,3,355,6,30,3,4,6,7302,0,4,1,1,1,0,0,1,1
2.02E+12,489687,238838,-0.693787,52.040708,43,3,2,1,5,479,3,4146,3,70,1,4,5,8007,0,0,4,1,1,0,0,2,2
2.02E+12,498540,182302,-0.580794,51.53104,43,3,2,3,3,477,6,28,6,40,8,4,6,966,0,0,6,1,1,0,0,1,1
2.02E+12,495056,182363,-0.630989,51.532185,43,3,2,1,3,473,6,7301,1,30,1,4,6,7301,0,0,1,1,1,0,0,1,2
2.02E+12,489407,196267,-0.708865,51.658092,43,2,2,1,4,480,5,91,1,30,2,4,5,108,0,0,1,1,1,0,0,1,1
2.02E+12,457215,221162,-1.170089,51.886097,43,3,3,1,6,481,3,41,1,40,1,4,4,4030,0,0,4,1,1,0,0,2,2
2.02E+12,487039,241132,-0.731801,52.061749,43,3,2,3,1,479,5,9010,6,60,3,4,6,1158,0,0,4,2,2,0,0,1,1
2.02E+12,486001,193405,-0.758794,51.632895,43,3,2,2,4,480,3,40,1,30,1,4,6,1970,0,0,1,1,1,0,0,1,1
